MPG,Cyl,Displacement,Horsepower,Weight,Acceleration,Year,CountryCode,Model,Scored Labels
1.289804055,-0.864013555,-0.415384224,-0.37639497,-0.496964537,-0.849740524,0.820978394,-0.716641045,pontiac phoenix,0.689525782
1.007573512,-0.864013555,-0.712005296,-0.766592859,-0.513467773,0.710863777,1.092788808,1.769405766,mazda 626,0.925043451
-0.057205356,1.483947025,1.48873169,0.53406677,1.087346173,0.674570654,0.820978394,-0.716641045,cadillac eldorado,-0.606371986
-1.08349824,0.309966735,0.531889522,-0.844632436,0.212674635,1.436726242,-0.266263263,-0.716641045,ford maverick,-0.493554674
0.815143596,-0.864013555,-1.008626369,-1.104764362,-1.335093193,-0.087584935,1.092788808,0.526382361,vokswagen rabbit,1.248586315
-0.519037154,1.483947025,1.182542196,0.924264659,0.892843742,-0.849740524,0.54916798,-0.716641045,dodge diplomat,-0.535311955
1.867093802,-0.864013555,-0.989489525,-0.974698399,-1.19363688,-0.196464305,1.636409637,1.769405766,honda civic,1.251943909
1.995380413,-0.864013555,-1.037331634,-1.052737977,-1.299729115,0.311639421,1.364599222,-0.716641045,plymouth champ,0.947371782
-0.442065188,0.309966735,-0.367542116,0.456027192,-0.201085081,-0.740861154,-0.809884091,1.769405766,toyota mark ii,-0.694347278
0.969087528,-0.864013555,-1.13301585,-1.364896288,-1.566138505,0.347932544,-0.538073677,1.769405766,toyota corona,0.917947515
0.969087528,-0.864013555,-1.180857959,-1.026724785,-1.419966981,1.255260626,-1.35350492,1.769405766,toyota corolla 1200,0.730980698
-0.442065188,-0.864013555,-0.932078995,-0.428421355,-0.82349286,1.255260626,-0.809884091,1.769405766,toyota carina,0.392135705
0.455941086,-0.864013555,-0.932078995,-0.428421355,-0.999134449,-0.377929921,-1.625315334,1.769405766,datsun pl510,0.401676147
-0.698638409,0.309966735,0.29267898,-0.246329007,0.951783873,1.255260626,-0.266263263,-0.716641045,plymouth fury,-0.674717563
-0.891068325,1.483947025,1.498300112,0.872238274,1.152180317,-0.849740524,0.820978394,-0.716641045,mercury grand marquis,-0.502498029
1.610520581,-0.864013555,-0.712005296,-0.428421355,-0.963770371,-0.377929921,1.636409637,1.769405766,nissan stanza xe,1.276422909
0.327654476,-0.864013555,-0.692868453,-0.636526896,-0.620738811,0.347932544,-0.538073677,-0.716641045,ford pinto,-0.186186582
-1.340071461,1.483947025,1.48873169,1.054330622,1.270060578,-1.285258003,0.005547151,-0.716641045,chevy c10,-0.716175006
-0.749953053,0.309966735,0.29267898,-0.506460933,0.574567037,0.384225667,1.364599222,-0.716641045,chrysler lebaron salon,0.073180862
1.35394736,-0.864013555,-0.78855267,-0.428421355,-0.686751757,0.892329393,1.636409637,-0.716641045,chevrolet cavalier 2-door,0.433663749
-1.08349824,1.483947025,1.029447449,0.664132733,1.552973204,-0.232757428,0.277357566,-0.716641045,mercury cougar brougham,-0.901980553
-1.211784851,1.483947025,1.182542196,1.184396584,1.318391485,-0.922326771,-1.35350492,-0.716641045,plymouth fury iii,-1.08656005
0.109567238,-0.864013555,-0.415384224,-0.37639497,0.029960231,1.654484982,1.092788808,-0.716641045,amc concord,-0.53289151
2.636813466,-0.864013555,-0.932078995,-1.364896288,-0.999134449,3.287675529,1.636409637,0.526382361,vw pickup,0.74285883
-0.057205356,-0.864013555,-0.932078995,-1.312869903,-0.852962925,2.888451173,-1.081694506,0.526382361,volkswagen type 3,0.185568597
0.969087528,-0.864013555,-0.721573718,-0.584500511,-0.303640908,1.400433119,1.636409637,-0.716641045,chevy s-10,0.260800107
-1.340071461,1.483947025,2.349889641,2.875254102,2.071646353,-1.648189236,-0.809884091,-0.716641045,chrysler new yorker brougham,-1.728048193
-0.685809748,0.309966735,0.608436895,0.404000807,0.509732893,-0.160171182,0.54916798,-0.716641045,amc concord d/l,-0.277720154
0.969087528,-0.864013555,-1.104310585,-0.974698399,-1.152378788,0.166466928,-0.538073677,0.526382361,fiat x1.9,0.725739915
1.148688783,-0.864013555,-0.836394778,-0.844632436,-0.810526031,0.52939816,1.092788808,1.769405766,honda accord,1.331007746
1.738807192,-0.864013555,-1.046900055,-1.026724785,-1.181848854,1.400433119,1.364599222,1.769405766,datsun 210 mpg,1.177426634
-0.057205356,-0.864013555,-0.520636863,-0.558487318,-0.39912392,0.52939816,-0.266263263,-0.716641045,ford pinto,-0.253595833
-1.08349824,0.309966735,0.531889522,-0.116263044,0.4225015,0.52939816,-0.538073677,-0.716641045,chevrolet nova,-0.547157609
1.22566075,-0.864013555,-0.989489525,-1.338883095,-1.394033324,0.710863777,-0.266263263,1.769405766,honda civic cvcc,1.467135714
-0.634495103,1.483947025,1.584415907,1.184396584,1.134498277,-0.922326771,0.820978394,-0.716641045,chrysler lebaron town @ country (sw),-0.593532332
-1.211784851,1.483947025,2.349889641,2.875254102,1.573012849,-2.555517318,-1.625315334,-0.716641045,plymouth fury iii,-1.415684947
-0.698638409,1.483947025,1.182542196,1.184396584,0.540381761,-1.648189236,-1.625315334,-0.716641045,plymouth satellite,-0.788779351
0.327654476,-0.864013555,-0.922510573,-0.37639497,-0.839996096,-0.014998689,-0.809884091,0.526382361,fiat 124 sport coupe,0.361538904
0.481598408,-0.864013555,-0.511068441,-0.870645629,0.250396319,3.360261776,0.820978394,0.526382361,peugeot 504,-0.119934
0.712514307,-0.864013555,-0.999057947,-0.896658822,-1.226643353,-0.486809291,0.005547151,0.526382361,vw rabbit,2.280749527
0.199367865,0.309966735,-0.128331574,0.143868881,-0.038410321,0.311639421,1.636409637,-0.716641045,buick century limited,0.041310726
1.097374139,-0.864013555,-1.180857959,-1.026724785,-1.345702417,1.981123091,-0.538073677,1.769405766,toyota corolla 1200,0.734661448
-1.211784851,1.483947025,1.029447449,0.846225081,1.254736144,-0.377929921,-0.809884091,-0.716641045,ford gran torino,-1.115333151
-0.185491966,-0.864013555,-0.826826357,-0.2723422,-0.705612599,0.347932544,-0.809884091,1.769405766,datsun 610,0.460134266
0.455941086,-0.864013555,-0.932078995,-0.428421355,-1.034498527,0.347932544,-1.081694506,1.769405766,toyota corolla 1600 (sw),0.587203098
-0.570351798,-0.864013555,-0.702436875,0.195895267,-0.129178122,-0.014998689,-0.809884091,0.526382361,volvo 144ea,-0.129759716
0.840800918,-0.864013555,-0.922510573,-0.948685207,-0.969664384,0.347932544,0.54916798,-0.716641045,chevrolet chevette,0.935887224
0.404626442,1.483947025,1.48873169,0.013802919,0.881055716,1.255260626,1.364599222,-0.716641045,oldsmobile cutlass ls,-0.297267611
-0.95521163,1.483947025,1.182542196,1.184396584,1.42919893,-0.922326771,0.005547151,-0.716641045,dodge coronet brougham,-0.965801931
0.058252594,-0.864013555,-0.721573718,-0.194302622,-0.674963731,-0.232757428,0.54916798,1.769405766,datsun 200-sx,0.811868906
0.071081255,-0.864013555,-0.578047393,-0.220315815,-0.324859355,-0.740861154,-0.266263263,1.769405766,toyota corona,0.28258087
-1.340071461,1.483947025,1.967152774,1.184396584,1.752190846,-1.285258003,-0.809884091,-0.716641045,chevrolet caprice classic,-1.186556317
-1.340071461,1.483947025,1.029447449,0.664132733,1.051982095,-0.196464305,0.005547151,-0.716641045,ford f108,-0.751231889
-1.468358072,1.483947025,2.493415967,3.135386028,2.326267717,-1.648189236,-0.809884091,-0.716641045,buick electra 225 custom,-1.913303996
0.455941086,-0.864013555,-0.520636863,-0.48044774,-0.221124726,0.021294435,1.636409637,-0.716641045,ford mustang gl,0.468812549
