Recency,Frequency,Monetary,Time,Class,Scored Labels,Scored Probabilities
4,6,1500,28,1,0,0.335822016000748
2,13,3250,32,1,1,0.588318109512329
23,3,750,35,0,0,0.05040243268013
14,2,500,14,0,0,0.136684328317642
7,5,1250,35,0,0,0.227081805467606
16,4,1000,45,0,0,0.0856252238154411
4,8,2000,21,0,0,0.431499630212784
4,3,750,28,0,0,0.252785563468933
8,15,3750,77,0,0,0.308823347091675
9,4,1000,65,0,0,0.106016151607037
14,8,2000,50,0,0,0.147936269640923
2,15,3750,64,0,0,0.498126208782196
14,4,1000,28,1,0,0.135651186108589
23,12,3000,86,0,0,0.0607467629015446
16,7,1750,64,0,0,0.0877109691500664
2,3,750,14,0,0,0.348252892494202
2,1,250,2,0,0,0.341308206319809
23,3,750,39,0,0,0.0467505902051926
14,3,750,79,0,0,0.0477097295224667
2,6,1500,45,0,0,0.302055358886719
21,3,750,70,0,0,0.0308498237282038
4,33,8250,98,1,1,0.825089812278748
16,3,750,34,0,0,0.0923881381750107
14,1,250,14,0,0,0.121633276343346
11,2,500,11,0,0,0.180463522672653
4,5,1250,58,0,0,0.196423828601837
14,7,1750,47,0,0,0.138770580291748
11,7,1750,29,0,0,0.231617152690887
4,1,250,4,0,0,0.293716758489609
4,5,1250,58,0,0,0.196423828601837
